period_start_ins,period_end_ins,component,power,time
63221616,63326949,core-alu,0.600501,5552.0
63326949,63437585,core-alu,0.588542,5568.0
63437585,63543312,core-alu,0.600518,5584.0
63543312,63647659,core-alu,0.599473,5600.0
63647659,63751949,core-alu,0.575134,5616.0
63751949,63853694,core-alu,0.595934,5632.0
63853694,63956297,core-alu,0.597084,5648.0
63956297,64060040,core-alu,0.599281,5664.0
64060040,64162210,core-alu,0.597241,5680.0
64162210,64266853,core-alu,0.599298,5696.0
64266853,64372479,core-alu,0.600432,5712.0
64372479,64478268,core-alu,0.601198,5728.0
64478268,64582141,core-alu,0.599054,5744.0
64582141,64683627,core-alu,0.597816,5760.0
64683627,64789850,core-alu,0.600431,5776.0
64789850,64896530,core-alu,0.600868,5792.0
64896530,65003299,core-alu,0.601844,5808.0
65003299,65106831,core-alu,0.598322,5824.0
65106831,65211335,core-alu,0.599664,5840.0
65211335,65315399,core-alu,0.59942,5856.0
65315399,65420337,core-alu,0.600501,5872.0
65420337,65526600,core-alu,0.601094,5888.0
65526600,65630659,core-alu,0.599211,5904.0
65630659,65734269,core-alu,0.598863,5920.0
65734269,65837417,core-alu,0.598775,5936.0
65837417,65940643,core-alu,0.599054,5952.0
65940643,66044416,core-alu,0.599123,5968.0
66044416,66150186,core-alu,0.601268,5984.0
66150186,66256763,core-alu,0.60132,6000.0
66256763,66363485,core-alu,0.601861,6016.0
66363485,66469248,core-alu,0.600605,6032.0
66469248,66575857,core-alu,0.601425,6048.0
66575857,66682702,core-alu,0.601791,6064.0
66682702,66788397,core-alu,0.600344,6080.0
66788397,66893020,core-alu,0.600013,6096.0
66893020,66998702,core-alu,0.600693,6112.0
66998702,67103644,core-alu,0.600571,6128.0
67103644,67208124,core-alu,0.599944,6144.0
67208124,67312746,core-alu,0.600257,6160.0
67312746,67417346,core-alu,0.60031,6176.0
67417346,67521514,core-alu,0.598775,6192.0
67521514,67626466,core-alu,0.599281,6208.0
67626466,67731593,core-alu,0.599734,6224.0
67731593,67838670,core-alu,0.601652,6240.0
67838670,67945755,core-alu,0.60139,6256.0
67945755,68052769,core-alu,0.601913,6272.0
68052769,68159786,core-alu,0.60167,6288.0
68159786,68267657,core-alu,0.602332,6304.0
68267657,68374050,core-alu,0.601879,6320.0
68374050,68482259,core-alu,0.602559,6336.0
68482259,68590309,core-alu,0.602209,6352.0
68590309,68696385,core-alu,0.601338,6368.0
68696385,68802650,core-alu,0.601042,6384.0
68802650,68909574,core-alu,0.601739,6400.0
68909574,69016728,core-alu,0.601739,6416.0
69016728,69122696,core-alu,0.601024,6432.0
69122696,69229281,core-alu,0.601112,6448.0
69229281,69336055,core-alu,0.600658,6464.0
69336055,69440403,core-alu,0.597921,6480.0
69440403,69542996,core-alu,0.598514,6496.0
69542996,69646652,core-alu,0.598532,6512.0
69646652,69753024,core-alu,0.599978,6528.0
69753024,69860324,core-alu,0.602262,6544.0
69860324,69969077,core-alu,0.601914,6560.0
69969077,70078346,core-alu,0.602872,6576.0
70078346,70183854,core-alu,0.597782,6592.0
70183854,70292006,core-alu,0.606604,6608.0
70292006,70355339,core-alu,0.526214,6624.0
70355339,70407736,core-alu,0.501806,6640.0
70407736,70459269,core-alu,0.501353,6656.0
70459269,70511002,core-alu,0.502504,6672.0
70511002,70563307,core-alu,0.502521,6688.0
70563307,70615023,core-alu,0.501859,6704.0
70615023,70667194,core-alu,0.502643,6720.0
70667194,70718512,core-alu,0.501493,6736.0
70718512,70775607,core-alu,0.472847,6752.0
70775607,70912891,core-alu,0.441501,6768.0
70912891,71044809,core-alu,0.440385,6784.0
71044809,71181388,core-alu,0.439688,6800.0
71181388,71326004,core-alu,0.441222,6816.0
71326004,71452793,core-alu,0.480972,6832.0
71452793,71708153,core-alu,0.405378,6848.0
71708153,71963513,core-alu,0.405378,6864.0
71963513,72218873,core-alu,0.405378,6880.0
72218873,72474233,core-alu,0.405378,6896.0
72474233,72729593,core-alu,0.405378,6912.0
72729593,72984959,core-alu,0.405378,6928.0
72984959,73240319,core-alu,0.405378,6944.0
73240319,73495679,core-alu,0.405378,6960.0
73495679,73751039,core-alu,0.405378,6976.0
73751039,74006399,core-alu,0.405378,6992.0
74006399,74261759,core-alu,0.405378,7008.0
74261759,74517119,core-alu,0.405378,7024.0
74517119,74772479,core-alu,0.405378,7040.0
74772479,75027839,core-alu,0.405378,7056.0
75027839,75283199,core-alu,0.405378,7072.0
75283199,75538565,core-alu,0.405378,7088.0
75538565,75793925,core-alu,0.405378,7104.0
75793925,76049285,core-alu,0.405378,7120.0
76049285,76304645,core-alu,0.405378,7136.0
76304645,76560005,core-alu,0.405378,7152.0
76560005,76815365,core-alu,0.405378,7168.0
76815365,77070725,core-alu,0.405378,7184.0
77070725,77326085,core-alu,0.405378,7200.0
77326085,77581445,core-alu,0.405378,7216.0
77581445,77836805,core-alu,0.405378,7232.0
77836805,78092165,core-alu,0.405378,7248.0
78092165,78347531,core-alu,0.405378,7264.0
78347531,78602891,core-alu,0.405378,7280.0
78602891,78858251,core-alu,0.405378,7296.0
78858251,79113611,core-alu,0.405378,7312.0
79113611,79368971,core-alu,0.405378,7328.0
79368971,79624331,core-alu,0.405378,7344.0
79624331,79879691,core-alu,0.405378,7360.0
79879691,80135051,core-alu,0.405378,7376.0
80135051,80390411,core-alu,0.405378,7392.0
80390411,80645771,core-alu,0.405378,7408.0
80645771,80901137,core-alu,0.405378,7424.0
80901137,81156497,core-alu,0.405378,7440.0
81156497,81411857,core-alu,0.405378,7456.0
81411857,81667217,core-alu,0.405378,7472.0
81667217,81922577,core-alu,0.405378,7488.0
81922577,82177937,core-alu,0.405378,7504.0
82177937,82433297,core-alu,0.405378,7520.0
82433297,82688657,core-alu,0.405378,7536.0
82688657,82944017,core-alu,0.405378,7552.0
82944017,83199377,core-alu,0.405378,7568.0
83199377,83454740,core-alu,0.405378,7584.0
83454740,83710103,core-alu,0.405378,7600.0
83710103,83965463,core-alu,0.405378,7616.0
83965463,84220823,core-alu,0.405378,7632.0
84220823,84476183,core-alu,0.405378,7648.0
84476183,84731543,core-alu,0.405378,7664.0
84731543,84986903,core-alu,0.405378,7680.0
84986903,85242263,core-alu,0.405378,7696.0
85242263,85497623,core-alu,0.405378,7712.0
85497623,85752983,core-alu,0.405378,7728.0
85752983,86008343,core-alu,0.405378,7744.0
86008343,86263709,core-alu,0.405378,7760.0
86263709,86519069,core-alu,0.405378,7776.0
86519069,86774429,core-alu,0.405378,7792.0
86774429,87029789,core-alu,0.405378,7808.0
87029789,87285149,core-alu,0.405378,7824.0
87285149,87416646,core-alu,0.517845,7840.0
87416646,87519545,core-alu,0.594992,7856.0
87519545,87624355,core-alu,0.597032,7872.0
87624355,87730550,core-alu,0.599264,7888.0
87730550,87835113,core-alu,0.598078,7904.0
87835113,87940338,core-alu,0.59949,7920.0
87940338,88043932,core-alu,0.598008,7936.0
88043932,88146469,core-alu,0.596909,7952.0
88146469,88251721,core-alu,0.60024,7968.0
88251721,88355622,core-alu,0.599717,7984.0
88355622,88456770,core-alu,0.597032,8000.0
88456770,88559521,core-alu,0.598984,8016.0
88559521,88664444,core-alu,0.600728,8032.0
88664444,88768348,core-alu,0.599141,8048.0
88768348,88871750,core-alu,0.599124,8064.0
88871750,88976753,core-alu,0.599856,8080.0
88976753,89084818,core-alu,0.602366,8096.0
89084818,89192330,core-alu,0.602297,8112.0
89192330,89297822,core-alu,0.601234,8128.0
89297822,89402030,core-alu,0.600205,8144.0
89402030,89504467,core-alu,0.598514,8160.0
89504467,89609691,core-alu,0.600693,8176.0
89609691,89713096,core-alu,0.599124,8192.0
89713096,89818634,core-alu,0.600536,8208.0
89818634,89923174,core-alu,0.600344,8224.0
89923174,90029202,core-alu,0.60221,8240.0
90029202,90135902,core-alu,0.601896,8256.0
90135902,90242662,core-alu,0.602506,8272.0
90242662,90348410,core-alu,0.600327,8288.0
90348410,90454155,core-alu,0.60078,8304.0
90454155,90557804,core-alu,0.599176,8320.0
90557804,90662739,core-alu,0.600414,8336.0
90662739,90768886,core-alu,0.601338,8352.0
90768886,90873043,core-alu,0.599821,8368.0
90873043,90979994,core-alu,0.600972,8384.0
90979994,91084601,core-alu,0.600083,8400.0
91084601,91188308,core-alu,0.600031,8416.0
91188308,91292619,core-alu,0.599246,8432.0
91292619,91398377,core-alu,0.600884,8448.0
91398377,91501699,core-alu,0.599472,8464.0
91501699,91605647,core-alu,0.599873,8480.0
91605647,91708470,core-alu,0.599124,8496.0
91708470,91812363,core-alu,0.600258,8512.0
91812363,91917411,core-alu,0.600902,8528.0
91917411,92023881,core-alu,0.601512,8544.0
92023881,92130975,core-alu,0.602262,8560.0
92130975,92237105,core-alu,0.601443,8576.0
92237105,92342232,core-alu,0.600832,8592.0
92342232,92447765,core-alu,0.601234,8608.0
92447765,92550605,core-alu,0.599159,8624.0
92550605,92653859,core-alu,0.599368,8640.0
92653859,92756633,core-alu,0.598374,8656.0
92756633,92859831,core-alu,0.59996,8672.0
92859831,92964916,core-alu,0.60064,8688.0
92964916,93069566,core-alu,0.600466,8704.0
93069566,93173532,core-alu,0.600118,8720.0
93173532,93275976,core-alu,0.598235,8736.0
93275976,93379745,core-alu,0.598723,8752.0
93379745,93484583,core-alu,0.598984,8768.0
93484583,93590410,core-alu,0.601634,8784.0
93590410,93696222,core-alu,0.600675,8800.0
93696222,93802584,core-alu,0.601303,8816.0
93802584,93910933,core-alu,0.560037,8832.0
93910933,94011451,core-alu,0.592953,8848.0
94011451,94114659,core-alu,0.59813,8864.0
94114659,94217596,core-alu,0.596596,8880.0
94217596,94318992,core-alu,0.59555,8896.0
94318992,94422280,core-alu,0.599194,8912.0
94422280,94526384,core-alu,0.599996,8928.0
94526384,94630570,core-alu,0.59874,8944.0
94630570,94734449,core-alu,0.599508,8960.0
94734449,94841001,core-alu,0.601634,8976.0
94841001,94945322,core-alu,0.600222,8992.0
94945322,95047029,core-alu,0.596456,9008.0
95047029,95150971,core-alu,0.600239,9024.0
95150971,95254523,core-alu,0.598618,9040.0
95254523,95359597,core-alu,0.599891,9056.0
95359597,95463547,core-alu,0.598845,9072.0
95463547,95566913,core-alu,0.599072,9088.0
95566913,95669642,core-alu,0.597956,9104.0
95669642,95772952,core-alu,0.599734,9120.0
95772952,95877824,core-alu,0.600083,9136.0
95877824,95982466,core-alu,0.6001,9152.0
95982466,96086323,core-alu,0.599751,9168.0
96086323,96190152,core-alu,0.59949,9184.0
96190152,96293703,core-alu,0.59942,9200.0
96293703,96396972,core-alu,0.598444,9216.0
96396972,96501238,core-alu,0.600117,9232.0
96501238,96606637,core-alu,0.600414,9248.0
96606637,96712109,core-alu,0.600431,9264.0
96712109,96817578,core-alu,0.60071,9280.0
96817578,96923581,core-alu,0.601616,9296.0
96923581,97029900,core-alu,0.601373,9312.0
97029900,97136645,core-alu,0.601128,9328.0
97136645,97242141,core-alu,0.599735,9344.0
97242141,97348205,core-alu,0.601391,9360.0
97348205,97453899,core-alu,0.600815,9376.0
97453899,97559688,core-alu,0.600797,9392.0
97559688,97665271,core-alu,0.600484,9408.0
97665271,97772408,core-alu,0.601983,9424.0
97772408,97878596,core-alu,0.601634,9440.0
97878596,97982858,core-alu,0.600082,9456.0
97982858,98089028,core-alu,0.600955,9472.0
98089028,98195512,core-alu,0.601216,9488.0
98195512,98305749,core-alu,0.604406,9504.0
98305749,98412978,core-alu,0.602053,9520.0
98412978,98520208,core-alu,0.602593,9536.0
98520208,98627815,core-alu,0.602018,9552.0
98627815,98735292,core-alu,0.602507,9568.0
98735292,98844638,core-alu,0.603813,9584.0
98844638,98950538,core-alu,0.600903,9600.0
98950538,99056988,core-alu,0.600815,9616.0
99056988,99163454,core-alu,0.601181,9632.0
99163454,99269308,core-alu,0.600954,9648.0
99269308,99376282,core-alu,0.601425,9664.0
99376282,99483612,core-alu,0.602071,9680.0
99483612,99589390,core-alu,0.599856,9696.0
99589390,99698669,core-alu,0.602262,9712.0
99698669,99805300,core-alu,0.599752,9728.0
99805300,99908423,core-alu,0.596578,9744.0
99908423,100011090,core-alu,0.598217,9760.0
