Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_none_branch_512,13.48,18.07,0.8,7.89,2.12,1.85,1.3,2.12,1.98,4.48,5.68,1.58,4.0,3.43,0.03,37.26
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_ghb_branch_4096,13.46,17.85,0.81,7.73,2.12,1.82,1.29,2.12,1.98,4.5,5.7,1.54,4.0,3.42,0.03,37.04
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_simple_branch_512,11.16,17.8,0.8,7.74,2.1,1.84,1.3,2.08,1.95,4.38,5.65,1.57,1.78,3.43,0.03,34.64
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_ghb_branch_4096,13.46,17.92,0.81,7.78,2.12,1.83,1.29,2.12,1.98,4.48,5.71,1.55,4.0,3.43,0.03,37.11
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_4096_prefetch_ghb_branch_512,13.46,17.9,0.81,7.76,2.12,1.83,1.29,2.12,1.98,4.48,5.74,1.55,4.0,3.42,0.03,37.12
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_simple_branch_1024,13.3,17.85,0.79,7.79,2.08,1.87,1.3,2.03,1.98,4.26,5.61,1.61,4.0,3.42,0.03,36.78
/root/snipersim_framework/radiosity_config_l2_512_l3MB_8192_prefetch_none_branch_4096,11.21,17.91,0.8,7.8,2.11,1.84,1.3,2.1,1.95,4.43,5.7,1.57,1.78,3.43,0.03,34.85
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_none_branch_2048,10.13,17.55,0.79,7.59,2.09,1.81,1.28,2.03,1.96,4.3,5.62,1.55,0.85,3.43,0.03,33.32
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_16384_prefetch_none_branch_2048,13.4,17.91,0.8,7.8,2.1,1.85,1.3,2.08,1.98,4.4,5.67,1.58,4.0,3.42,0.03,37.01
/root/snipersim_framework/radiosity_config_l2_512_l3MB_4096_prefetch_none_branch_512,11.28,18.0,0.81,7.85,2.12,1.84,1.3,2.13,1.95,4.5,5.73,1.56,1.78,3.43,0.03,35.03
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_ghb_branch_1024,10.26,18.12,0.8,7.99,2.09,1.9,1.32,2.07,1.96,4.35,5.67,1.63,0.85,3.43,0.03,34.08
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_ghb_branch_512,13.4,17.97,0.8,7.84,2.1,1.86,1.3,2.08,1.98,4.39,5.68,1.59,4.0,3.42,0.03,37.08
/root/snipersim_framework/radiosity_config_l2_256_l3MB_16384_prefetch_simple_branch_512,10.32,17.86,0.8,7.74,2.12,1.82,1.29,2.12,1.96,4.48,5.7,1.55,0.86,3.43,0.03,33.9
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_8192_prefetch_ghb_branch_1024,13.48,18.04,0.8,7.86,2.12,1.85,1.3,2.12,1.98,4.48,5.69,1.57,4.0,3.42,0.03,37.24
/root/snipersim_framework/radiosity_config_l2_512_l3MB_16384_prefetch_simple_branch_1024,11.2,17.89,0.8,7.79,2.11,1.85,1.3,2.09,1.95,4.42,5.66,1.57,1.78,3.43,0.03,34.79
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_none_branch_4096,10.21,17.86,0.8,7.8,2.09,1.86,1.3,2.06,1.96,4.33,5.63,1.59,0.85,3.43,0.03,33.73
/root/snipersim_framework/radiosity_config_l2_256_l3MB_4096_prefetch_simple_branch_2048,10.22,17.88,0.8,7.8,2.09,1.85,1.3,2.07,1.96,4.35,5.64,1.59,0.85,3.43,0.03,33.77
/root/snipersim_framework/radiosity_config_l2_512_l3MB_12288_prefetch_none_branch_4096,11.18,17.86,0.8,7.78,2.1,1.84,1.29,2.09,1.95,4.41,5.67,1.56,1.78,3.43,0.03,34.74
/root/snipersim_framework/radiosity_config_l2_1024_l3MB_12288_prefetch_simple_branch_2048,13.32,17.91,0.79,7.83,2.08,1.88,1.31,2.04,1.98,4.28,5.61,1.62,4.0,3.42,0.03,36.87
