Directory,cache,core,core-alu,core-core,core-fp,core-ifetch,core-int,core-mem,core-other,dcache,dram,icache,l2,l3,other,total
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_ghb_branch_1024,10.4,17.12,0.68,7.04,1.78,1.93,1.31,2.42,1.96,5.39,4.29,0.8,0.84,3.38,0.03,31.84
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_none_branch_1024,11.76,18.38,0.68,7.83,1.78,2.12,1.4,2.62,1.95,5.82,4.29,0.8,1.77,3.38,0.03,34.45
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_none_branch_1024,11.82,18.06,0.7,7.58,1.84,2.0,1.37,2.63,1.95,5.8,4.29,0.87,1.77,3.38,0.03,34.2
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_ghb_branch_2048,13.88,17.87,0.68,7.46,1.8,2.02,1.36,2.57,1.98,5.69,4.29,0.82,3.99,3.38,0.03,36.07
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_simple_branch_1024,11.47,17.74,0.68,7.49,1.78,2.01,1.34,2.49,1.95,5.53,4.29,0.8,1.77,3.38,0.03,33.52
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_none_branch_4096,11.58,17.85,0.68,7.53,1.8,2.01,1.35,2.53,1.95,5.62,4.29,0.82,1.77,3.38,0.03,33.75
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_ghb_branch_512,11.31,17.39,0.68,7.31,1.78,1.95,1.31,2.42,1.95,5.38,4.29,0.8,1.77,3.38,0.03,33.02
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_none_branch_2048,11.41,17.46,0.68,7.28,1.78,1.98,1.33,2.46,1.95,5.47,4.29,0.8,1.77,3.38,0.03,33.19
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_simple_branch_4096,11.82,18.05,0.7,7.57,1.84,2.0,1.36,2.62,1.95,5.8,4.29,0.87,1.77,3.38,0.03,34.19
/root/snipersim_framework/config_l2_1024_l2MB_8_prefetch_ghb_branch_2048,13.63,17.83,0.66,7.54,1.74,2.08,1.36,2.48,1.98,5.53,4.28,0.74,3.98,3.37,0.03,35.78
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_simple_branch_512,11.85,18.43,0.68,7.83,1.8,2.11,1.4,2.66,1.95,5.89,4.29,0.82,1.77,3.38,0.03,34.6
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_ghb_branch_512,13.02,16.23,0.67,6.61,1.75,1.81,1.22,2.19,1.98,4.9,4.28,0.76,3.98,3.38,0.03,33.57
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_simple_branch_1024,10.4,17.39,0.67,7.27,1.77,1.98,1.32,2.43,1.96,5.4,4.28,0.78,0.84,3.38,0.03,32.1
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_none_branch_2048,10.68,18.04,0.68,7.65,1.78,2.06,1.36,2.55,1.96,5.66,4.29,0.8,0.84,3.38,0.03,33.03
/root/snipersim_framework/config_l2_1024_l2MB_12_prefetch_simple_branch_4096,14.1,18.53,0.68,7.87,1.8,2.12,1.41,2.67,1.98,5.91,4.29,0.82,3.99,3.38,0.03,36.94
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_ghb_branch_4096,10.69,18.08,0.68,7.67,1.78,2.06,1.37,2.56,1.96,5.68,4.29,0.8,0.84,3.38,0.03,33.09
/root/snipersim_framework/config_l2_512_l2MB_16_prefetch_none_branch_4096,11.05,17.0,0.66,7.11,1.74,1.94,1.28,2.32,1.95,5.17,4.28,0.74,1.76,3.37,0.03,32.37
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_simple_branch_1024,13.72,17.92,0.67,7.56,1.75,2.08,1.36,2.52,1.98,5.6,4.28,0.76,3.99,3.38,0.03,35.95
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_ghb_branch_512,10.64,17.83,0.68,7.51,1.8,2.01,1.35,2.53,1.96,5.61,4.29,0.82,0.84,3.38,0.03,32.79
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_none_branch_2048,11.37,17.64,0.67,7.46,1.76,2.01,1.33,2.45,1.95,5.45,4.28,0.78,1.77,3.38,0.03,33.31
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_simple_branch_2048,11.65,17.83,0.68,7.45,1.8,2.02,1.36,2.56,1.95,5.68,4.29,0.82,1.77,3.38,0.03,33.79
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_simple_branch_4096,11.69,17.95,0.69,7.55,1.82,2.01,1.36,2.58,1.95,5.7,4.29,0.85,1.77,3.38,0.03,33.96
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_ghb_branch_1024,13.52,16.93,0.69,6.92,1.82,1.85,1.28,2.4,1.98,5.31,4.29,0.85,3.99,3.38,0.03,34.77
/root/snipersim_framework/config_l2_256_l2MB_12_prefetch_none_branch_2048,10.41,17.44,0.68,7.33,1.78,1.96,1.31,2.43,1.96,5.39,4.29,0.8,0.84,3.38,0.03,32.17
/root/snipersim_framework/config_l2_256_l2MB_16_prefetch_none_branch_1024,10.19,17.2,0.66,7.2,1.72,2.01,1.31,2.35,1.96,5.26,4.28,0.72,0.84,3.37,0.03,31.69
/root/snipersim_framework/config_l2_256_l2MB_8_prefetch_simple_branch_512,10.73,18.26,0.67,7.79,1.77,2.11,1.38,2.58,1.96,5.73,4.28,0.78,0.84,3.38,0.03,33.3
/root/snipersim_framework/config_l2_1024_l2MB_4_prefetch_ghb_branch_4096,13.53,17.39,0.67,7.26,1.76,1.98,1.32,2.42,1.98,5.39,4.28,0.78,3.98,3.38,0.03,35.24
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_ghb_branch_4096,11.62,18.06,0.68,7.66,1.78,2.06,1.37,2.56,1.95,5.68,4.29,0.8,1.77,3.38,0.03,33.99
/root/snipersim_framework/config_l2_512_l2MB_4_prefetch_none_branch_512,11.75,18.34,0.68,7.81,1.78,2.11,1.39,2.62,1.95,5.8,4.29,0.8,1.77,3.38,0.03,34.39
/root/snipersim_framework/config_l2_512_l2MB_12_prefetch_ghb_branch_512,11.46,17.71,0.68,7.48,1.78,2.01,1.34,2.49,1.95,5.52,4.29,0.8,1.77,3.38,0.03,33.49
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_ghb_branch_512,13.95,18.19,0.68,7.69,1.8,2.06,1.38,2.6,1.98,5.76,4.29,0.82,3.99,3.38,0.03,36.45
/root/snipersim_framework/config_l2_1024_l2MB_16_prefetch_none_branch_4096,13.92,17.98,0.69,7.55,1.82,2.01,1.36,2.58,1.98,5.71,4.29,0.85,3.99,3.38,0.03,36.22
