directory,btbCore0,btbCore1,file,period_start,period_end,total_power,l2_power,l3_power
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-172000005-periodicins-173000012-1000007.txt,periodicins-172000005,periodicins-173000012,14.5846,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-258000042-periodicins-259000047-1000005.txt,periodicins-258000042,periodicins-259000047,41.7772,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-708000005-periodicins-709000052-1000047.txt,periodicins-708000005,periodicins-709000052,33.0742,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-383000027-periodicins-384000055-1000028.txt,periodicins-383000027,periodicins-384000055,34.0746,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1132000003-periodicins-1133000004-1000001.txt,periodicins-1132000003,periodicins-1133000004,31.1978,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-415000017-periodicins-416000004-999987.txt,periodicins-415000017,periodicins-416000004,7.72018,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-678000005-periodicins-679000072-1000067.txt,periodicins-678000005,periodicins-679000072,30.3306,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-251000070-periodicins-252000020-999950.txt,periodicins-251000070,periodicins-252000020,39.7494,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-263000007-periodicins-264000005-999998.txt,periodicins-263000007,periodicins-264000005,26.5073,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-783000022-periodicins-784000039-1000017.txt,periodicins-783000022,periodicins-784000039,35.8029,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-486000003-periodicins-487000005-1000002.txt,periodicins-486000003,periodicins-487000005,30.3886,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-701000042-periodicins-702000008-999966.txt,periodicins-701000042,periodicins-702000008,36.8297,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-941000021-periodicins-942000020-999999.txt,periodicins-941000021,periodicins-942000020,35.8288,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-673000004-periodicins-674000003-999999.txt,periodicins-673000004,periodicins-674000003,30.3651,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-43000001-periodicins-44000002-1000001.txt,periodicins-43000001,periodicins-44000002,9.22504,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-1023000042-periodicins-1024000004-999962.txt,periodicins-1023000042,periodicins-1024000004,36.0867,0.0,0.0
./config_l2_256_l3MB_8192_prefetch_none_branch_1024-4096_cholesky-intervals,1024,4096,power-periodicins-572000037-periodicins-573000021-999984.txt,periodicins-572000037,periodicins-573000021,38.7075,0.0,0.0
